2022-04-02 00:05:08,966 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.report.CommentServiceTest]: CommentServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-04-02 00:05:08,970 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.report.CommentServiceTest
2022-04-02 00:05:08,975 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-04-02 00:05:08,975 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6d0b5baf, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@631e06ab, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2a3591c5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@34a75079, org.springframework.test.context.support.DirtiesContextTestExecutionListener@346a361, org.springframework.test.context.transaction.TransactionalTestExecutionListener@107ed6fc, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1643d68f, org.springframework.test.context.event.EventPublishingTestExecutionListener@186978a6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2e029d61, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@482d776b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4052274f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@132ddbab, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@297ea53a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@acb0951]
2022-04-02 00:05:08,980 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.user.PreferenceServiceTest], using SpringBootContextLoader
2022-04-02 00:05:08,983 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.user.PreferenceServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-04-02 00:05:08,984 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.user.PreferenceServiceTest]: PreferenceServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-04-02 00:05:09,004 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.user.PreferenceServiceTest
2022-04-02 00:05:09,011 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-04-02 00:05:09,014 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3efe7086, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@675d8c96, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@741b3bc3, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2ed3b1f5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@63648ee9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@68d6972f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@45be7cd5, org.springframework.test.context.event.EventPublishingTestExecutionListener@7651218e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3185fa6b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6d366c9b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5b58ed3c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@24faea88, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3a320ade, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@64beebb7]
