2022-05-03 17:12:58,882 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.report.ReportServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-03 17:12:58,882 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.report.ReportServiceTest]: ReportServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-03 17:12:58,896 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.report.ReportServiceTest
2022-05-03 17:12:58,908 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-03 17:12:58,910 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7fc44dec, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7e3060d8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@293d0107, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2692b61e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7b64240d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@62fad19, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@47dbb1e2, org.springframework.test.context.event.EventPublishingTestExecutionListener@74cadd41, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2e54db99, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@55e8ec2f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4f2613d1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6d24ffa1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@65a4798f, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@773f7880]
2022-05-03 17:12:58,929 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.task.FileServiceTest], using SpringBootContextLoader
2022-05-03 17:12:58,938 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.task.FileServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-03 17:12:58,939 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.task.FileServiceTest]: FileServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-03 17:12:58,948 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.task.FileServiceTest
2022-05-03 17:12:58,961 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-03 17:12:58,962 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@42a9e5d1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5b080f3a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@773cbf4f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6b54655f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@665e9289, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7d3430a7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6f603e89, org.springframework.test.context.event.EventPublishingTestExecutionListener@2756c0a7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@350ec41e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@69637b10, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@71984c3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@165b2f7f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5536379e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@277f7dd3]
2022-05-03 17:12:58,977 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.recommend.RuleServiceTest], using SpringBootContextLoader
2022-05-03 17:12:58,982 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.recommend.RuleServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-03 17:12:58,987 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.recommend.RuleServiceTest]: RuleServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-03 17:12:59,020 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.recommend.RuleServiceTest
